Position,Move,Times_Repeated,Move_Number,Side,Original_Eval_Before,Original_Eval_After,Original_Eval_Drop,Original_Move_Quality,Stockfish_Eval_Drop,Stockfish_Move_Quality,Stockfish_Best_Move,Opening,Move_Theme,Board_Image,Your_Move_Eval,Best_Move_Eval,Eval_Difference
rnbqk2r/ppp2ppp/4pb2/3P4/3P4/2N5/PP2PPPP/R2QKBNR b KQkq - 0 6,exd5,4,12,Black,-0.19,-0.07,-0.12,Mistake,37,Excellent,exd5,Queen's Gambit,pawn_capture; capture,board_images/board_330.png,,,
rnbqk2r/ppp1bppp/4pn2/3p4/2PP1B2/2N2N2/PP2PPPP/R2QKB1R b KQkq - 5 5,c5,4,10,Black,0.28,0.4,-0.12,Mistake,-71,Good,O-O,Queen's Gambit,pawn_push; central_control; queenside_attack,board_images/board_331.png,,,
rnbqk2r/ppp1ppbp/5np1/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bf4,4,9,White,0.31,0.06,0.25,Blunder,53,Inaccuracy,Qb3,Queen's Gambit,bishop_development; bishop_development,board_images/board_332.png,,,
rnbqk2r/pp2Bppp/4p3/2pn4/3P4/2N2N2/PP2PPPP/R2QKB1R b KQkq - 0 7,Qxe7,4,14,Black,0.36,0.34,0.02,Excellent,-75,Excellent,Qxe7,Queen's Gambit,capture,board_images/board_333.png,,,
rnbqkb1r/ppp2ppp/5n2/3P4/2P2p2/5N2/PP1P2PP/RNBQKB1R b KQkq - 0 5,c6,4,10,Black,-0.21,-0.07,-0.14,Mistake,61,Excellent,c6,King's Pawn Game,general,board_images/board_334.png,,,
rnbqkb1r/pp3ppp/2P2n2/8/2P2p2/5N2/PP1P2PP/RNBQKB1R b KQkq - 0 6,Nxc6,4,12,Black,-1.08,-0.85,-0.23,Blunder,242,Excellent,Nxc6,King's Pawn Game,capture,board_images/board_335.png,,,
r1bqkbnr/pp2pppp/2n5/2pp4/3P1B2/2P2N2/PP2PPPP/RN1QKB1R b KQkq - 2 4,Nf6,4,8,Black,-0.04,0.07,-0.11,Mistake,-13,Good,Qb6,Queen's Pawn Game,knight_development; knight_development,board_images/board_336.png,,,
r1bqkbnr/ppp1pppp/2n5/8/2pP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,e3,3,7,White,0.74,0.32,0.42,Blunder,118,Good,d5,Queen's Pawn Game,general,board_images/board_338.png,,,
rnbqkbnr/pppp2pp/8/4p3/4P3/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,Nf3,3,7,White,5.04,1.46,3.58,Blunder,617,Good,Qh5+,Queen's Pawn Game,knight_development; knight_development,board_images/board_339.png,,,
rnbqkbnr/pppp1ppp/8/8/3pP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 1 3,Nc6,3,6,Black,-0.07,0.22,-0.29,Blunder,-14,Good,Bc5,King's Pawn Game,knight_development; knight_development,board_images/board_340.png,,,
r1bqkbnr/pppp1ppp/6n1/8/4PB2/8/PPP2PPP/RN1QKBNR w KQkq - 2 5,Bg3,3,9,White,0.21,0.31,-0.1,Inaccuracy,57,Excellent,Bg3,Queen's Pawn Game,bishop_development,board_images/board_344.png,,,
rnbqkb1r/pppp1ppp/5n2/4p3/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,dxe5,3,5,White,0.66,0.68,-0.02,Good,173,Excellent,dxe5,Budapest Gambit,pawn_capture; capture,board_images/board_345.png,,,
rnbqkbnr/pp3ppp/2p1p3/8/2BP4/4P3/PP3PPP/RNBQK1NR w KQkq - 0 5,Nc3,3,9,White,0.82,0.77,0.05,Good,168,Good,Nf3,Queen's Gambit,knight_development; knight_development,board_images/board_346.png,,,
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP1B2/2N5/PP2PPPP/R2QKBNR b KQkq - 3 4,c5,3,8,Black,0.0,0.0,0.0,Best,-13,Good,Bb4,Queen's Gambit,pawn_push; central_control; queenside_attack,board_images/board_350.png,,,
rnbqkb1r/pp3ppp/4pn2/2pP4/3P4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 0 5,exd5,3,10,Black,0.24,0.52,-0.28,Blunder,-80,Good,Nxd5,Queen's Gambit,pawn_capture; capture,board_images/board_353.png,,,
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/P1N5/1P2PPPP/R1BQKBNR b KQkq - 2 4,c5,3,8,Black,-0.08,-0.14,0.06,Inaccuracy,5,Good,dxc4,Queen's Gambit,pawn_push; central_control; queenside_attack,board_images/board_356.png,,,
rnbqkbnr/pp1p1ppp/4p3/2pP4/8/8/PPP1PPPP/RNBQKBNR w KQkq - 0 3,c4,3,5,White,0.77,0.67,0.1,Inaccuracy,180,Excellent,c4,Queen's Pawn Game,pawn_push; central_control; queenside_attack,board_images/board_357.png,,,
rnbqkbnr/pppp1ppp/8/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq - 1 2,c5,3,4,Black,0.15,0.44,-0.29,Blunder,-59,Inaccuracy,Nf6,English Opening,pawn_push; central_control; queenside_attack,board_images/board_359.png,,,
rnbqk2r/pp2bppp/2p1pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,e3,3,11,White,0.4,0.31,0.09,Inaccuracy,69,Excellent,e3,Queen's Pawn Game,general,board_images/board_361.png,,,
rnbqkbnr/ppp2ppp/3pp3/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,3,5,White,0.54,0.54,0.0,Best,119,Good,Nf3,Queen's Pawn Game,knight_development; knight_development,board_images/board_367.png,,,
rnbqkbnr/pppp1ppp/8/4p3/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq - 0 2,Nf6,3,4,Black,-0.34,-0.13,-0.21,Blunder,63,Good,Nc6,English Opening,knight_development; knight_development,board_images/board_373.png,,,
rnbqkbnr/1p2pppp/p1p5/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,3,7,White,0.4,0.39,0.01,Excellent,72,Good,e4,Queen's Gambit,knight_development; knight_development,board_images/board_374.png,,,
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPPNPPP/RNBQKB1R b KQkq - 1 2,Nf6,3,4,Black,0.02,0.04,-0.02,Excellent,20,Excellent,Nf6,King's Pawn Game,knight_development; knight_development,board_images/board_376.png,,,
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/6N1/PPPP1PPP/RNBQKB1R b KQkq - 3 3,Nc6,3,6,Black,-0.77,-0.78,0.01,Excellent,164,Excellent,Nc6,King's Pawn Game,knight_development; knight_development,board_images/board_377.png,,,
rnbqk2r/pp2bppp/4pn2/2Pp2B1/2P5/2N2N2/PP2PPPP/R2QKB1R b KQkq - 0 6,Bxc5,3,12,Black,0.29,0.45,-0.16,Mistake,-101,Inaccuracy,h6,Queen's Gambit,capture,board_images/board_381.png,,,
rnbqk2r/pp3ppp/4pn2/2bP2B1/8/2N2N2/PP2PPPP/R2QKB1R b KQkq - 0 7,exd5,3,14,Black,0.29,0.85,-0.56,Blunder,-100,Good,Qb6,Queen's Gambit,pawn_capture; capture,board_images/board_382.png,,,
r1bqkbnr/pp2pppp/2n5/2pp4/3P1P2/4PN2/PPP3PP/RNBQKB1R b KQkq - 0 4,Bg4,3,8,Black,-0.69,-0.65,-0.04,Good,129,Excellent,Bg4,Bird's Opening,bishop_development,board_images/board_384.png,,,
rnbqkb1r/ppp2pp1/4pn1p/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq - 0 5,Bh4,3,9,White,0.96,0.04,0.92,Blunder,85,Good,Bxf6,Queen's Gambit,bishop_development,board_images/board_387.png,,,
rnbqk2r/pp2bppp/4pn2/2pp2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 4 6,e3,3,11,White,0.33,0.07,0.26,Blunder,58,Good,cxd5,Queen's Gambit,general,board_images/board_389.png,,,
rnbqkbnr/pp2pppp/8/2pp4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,cxd5,3,5,White,0.49,0.43,0.06,Inaccuracy,109,Excellent,cxd5,Queen's Gambit,capture,board_images/board_391.png,,,
rnbqkb1r/pp3ppp/4pn2/2pP4/3P4/5NP1/PP2PP1P/RNBQKB1R b KQkq - 0 5,Nxd5,3,10,Black,0.38,0.41,-0.03,Good,-65,Good,cxd4,Queen's Gambit,capture,board_images/board_392.png,,,
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/3B1N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,Nc6,3,6,Black,-0.49,-0.15,-0.34,Blunder,87,Good,d5,Petroff Defense,knight_development; knight_development,board_images/board_394.png,,,
rnbqkb1r/pp1p1ppp/2p1pn2/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,3,7,White,0.88,0.23,0.65,Blunder,154,Mistake,e4,Queen's Pawn Game,knight_development; knight_development,board_images/board_395.png,,,
rnbqkbnr/pppp1ppp/8/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq - 1 2,Nf6,3,4,Black,0.15,0.15,0.0,Best,-20,Excellent,Nf6,English Opening,knight_development; knight_development,board_images/board_396.png,,,
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq - 0 5,c5,3,10,Black,0.02,0.22,-0.2,Mistake,-45,Inaccuracy,O-O,Queen's Gambit,pawn_push; central_control; queenside_attack,board_images/board_398.png,,,
rnbqkb1r/pp2pp1p/2p2np1/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,Bg5,3,9,White,0.46,0.51,-0.05,Good,85,Inaccuracy,e3,Queen's Gambit,bishop_development; bishop_development,board_images/board_400.png,,,
rnbqkbnr/pp2pppp/8/2pp4/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 1 3,Nf6,3,6,Black,-0.14,-0.17,0.03,Good,28,Excellent,Nf6,Queen's Pawn Game,knight_development; knight_development,board_images/board_403.png,,,
rnbqkb1r/ppppp2p/5np1/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,3,7,White,0.57,0.59,-0.02,Good,128,Good,g3,Dutch Defense,knight_development; knight_development,board_images/board_404.png,,,
rnbqkbnr/ppp2ppp/8/4P3/2Pp4/8/PP2PPPP/RNBQKBNR w KQkq - 0 4,e3,3,7,White,0.69,-0.15,0.84,Blunder,32,Inaccuracy,Nf3,Queen's Pawn Game,general,board_images/board_409.png,,,
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/6P1/PP2PP1P/RNBQKBNR b KQkq - 0 3,Nf6,3,6,Black,0.21,0.27,-0.06,Inaccuracy,-43,Good,dxc4,Queen's Gambit,knight_development; knight_development,board_images/board_410.png,,,
rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,cxd5,3,7,White,0.21,0.26,-0.05,Inaccuracy,61,Good,Nf3,King's Indian Defense,capture,board_images/board_412.png,,,
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 5,Bf4,3,9,White,0.32,0.33,-0.01,Excellent,69,Excellent,Bf4,Queen's Gambit,bishop_development; bishop_development,board_images/board_414.png,,,
rnbqkbnr/pp2pppp/8/2Pp4/8/2N5/PPP1PPPP/R1BQKBNR b KQkq - 0 3,Nf6,3,6,Black,-0.2,-0.16,-0.04,Good,37,Excellent,Nf6,Queen's Pawn Game,knight_development; knight_development,board_images/board_417.png,,,
rnbqkbnr/pp2pppp/2p5/8/2pP4/4P3/PP3PPP/RNBQKBNR w KQkq - 0 4,Bxc4,3,7,White,0.84,0.85,-0.01,Excellent,181,Excellent,Bxc4,Queen's Gambit,capture,board_images/board_418.png,,,
rnbqk2r/pppp2pp/4pn2/5p2/1bPP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 5,Bd2,3,9,White,0.4,0.38,0.02,Good,68,Excellent,Bd2,Queen's Pawn Game,bishop_development,board_images/board_421.png,,,
rnbqkbnr/pppppppp/8/8/8/3P4/PPP1PPPP/RNBQKBNR b KQkq - 0 1,d5,3,2,Black,-0.11,-0.06,-0.05,Good,38,Excellent,d5,Unknown,pawn_push; central_control,board_images/board_424.png,,,
rnbqkbnr/ppp2ppp/8/4P3/2Pp4/8/PP2PPPP/RNBQKBNR w KQkq - 0 4,Qd3,3,7,White,0.69,-0.41,1.1,Blunder,79,Inaccuracy,Nf3,Queen's Gambit,general,board_images/board_429.png,,,
rnbqkbnr/ppp2pp1/4p2p/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,3,7,White,0.31,0.38,-0.07,Inaccuracy,63,Excellent,Nf3,Queen's Gambit,knight_development; knight_development,board_images/board_430.png,,,
rnbqkb1r/ppp2pp1/4pn1p/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bf4,3,9,White,0.34,0.39,-0.05,Good,66,Good,g3,Queen's Gambit,bishop_development; bishop_development,board_images/board_431.png,,,
rnbqkbnr/pp2pp1p/2p3p1/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,3,7,White,0.46,0.38,0.08,Inaccuracy,93,Excellent,Nf3,Queen's Gambit,knight_development; knight_development,board_images/board_436.png,,,
rnbqkb1r/pppp1ppp/5n2/4P3/5p2/2N5/PPPP2PP/R1BQKBNR b KQkq - 0 4,Ng8,3,8,Black,0.69,0.61,0.08,Inaccuracy,-107,Excellent,Ng8,King's Pawn Game,knight_development,board_images/board_437.png,,,
rnbqkbnr/pp2pppp/8/2Pp4/8/4P3/PPP2PPP/RNBQKBNR b KQkq - 0 3,e5,3,6,Black,0.06,0.84,-0.78,Blunder,-90,Inaccuracy,e6,Queen's Pawn Game,pawn_push; central_control,board_images/board_439.png,,,
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,Bg5,3,5,White,0.21,-0.01,0.22,Blunder,36,Inaccuracy,g3,Queen's Pawn Game,bishop_development; bishop_development,board_images/board_444.png,,,
rnbqkb1r/pp3ppp/4pn2/2Pp4/2P5/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 0 5,Bxc5,3,10,Black,-0.15,-0.2,0.05,Inaccuracy,4,Excellent,Bxc5,Queen's Gambit,capture,board_images/board_447.png,,,
rnbqk2r/pp2bpp1/2p1pn1p/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQkq - 0 7,Bh4,3,13,White,0.46,0.38,0.08,Inaccuracy,63,Good,Bxf6,Queen's Gambit,bishop_development,board_images/board_448.png,,,
rnbqkbnr/ppp2ppp/8/3p4/3QP3/2P5/PP3PPP/RNB1KBNR b KQkq - 0 4,Nf6,3,8,Black,-0.31,-0.13,-0.18,Mistake,46,Good,Be6,King's Pawn Game,knight_development; knight_development,board_images/board_449.png,,,
rnbqkb1r/ppp2ppp/8/4P3/3Pp3/8/PPP3PP/R1BQKBNR b KQkq d3 0 6,Nc6,3,12,Black,-0.48,0.47,-0.95,Blunder,9,Inaccuracy,exd3,King's Pawn Game,knight_development; knight_development,board_images/board_452.png,,,
rnbqkb1r/pp3ppp/4pn2/2p3B1/2pP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,e4,3,11,White,0.18,0.16,0.02,Excellent,27,Inaccuracy,Bxf6,Queen's Gambit,pawn_push; central_control,board_images/board_454.png,,,
rnbqkb1r/pppp1ppp/5n2/4p3/2BPP3/8/PPP2PPP/RNBQK1NR b KQkq - 0 3,exd4,3,6,Black,-0.4,-0.3,-0.1,Mistake,94,Excellent,exd4,King's Pawn Game,pawn_capture; capture,board_images/board_455.png,,,
rnbqkb1r/pp2pppp/5n2/2pp4/3P1B2/2N1P3/PPP2PPP/R2QKBNR b KQkq - 0 4,Nc6,3,8,Black,0.1,1.66,-1.56,Blunder,-163,Inaccuracy,cxd4,Queen's Pawn Game,knight_development; knight_development,board_images/board_456.png,,,
rnbqk2r/ppp2p2/4pn1p/3p2p1/2PP3B/2P2N2/P3PPPP/R2QKB1R w KQkq - 0 8,Bg3,3,15,White,1.07,0.93,0.14,Mistake,201,Excellent,Bg3,Queen's Pawn Game,bishop_development,board_images/board_458.png,,,
rnbqk2r/ppp2p2/4p2p/3p2p1/2PPn3/2P2NB1/P3PPPP/R2QKB1R w KQkq - 2 9,Qc2,3,17,White,0.98,0.85,0.13,Mistake,174,Good,Nd2,Queen's Pawn Game,general,board_images/board_459.png,,,
rnbqk2r/ppp1ppbp/3p1np1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bg5,3,9,White,0.54,0.13,0.41,Blunder,59,Inaccuracy,h3,Queen's Pawn Game,bishop_development; bishop_development,board_images/board_460.png,,,
rnbqkbnr/ppp2ppp/8/3p4/3PP3/8/PP3PPP/RNBQKBNR b KQkq - 0 4,dxe4,3,8,Black,-0.85,-0.87,0.02,Good,184,Excellent,dxe4,King's Pawn Game,pawn_capture; capture,board_images/board_461.png,,,
rnbqkbnr/pp3ppp/2p1p3/8/2pP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,e4,3,9,White,0.38,0.03,0.35,Blunder,16,Inaccuracy,a4,Queen's Gambit,pawn_push; central_control,board_images/board_462.png,,,
rnbqkbnr/ppp2ppp/8/4P3/2Pp4/8/PP2PPPP/RNBQKBNR w KQkq - 0 4,e4,3,7,White,0.69,-0.06,0.75,Blunder,50,Inaccuracy,Nf3,Queen's Gambit,pawn_push; central_control,board_images/board_466.png,,,
rnbqkbnr/ppp2ppp/8/3P4/5p2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 4,c6,3,8,Black,-0.12,-0.1,-0.02,Excellent,70,Excellent,c6,King's Pawn Game,general,board_images/board_469.png,,,
rnbqkb1r/pp2pppp/5n2/2pp4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,3,7,White,0.29,-0.22,0.51,Blunder,-6,Inaccuracy,cxd5,Queen's Pawn Game,knight_development; knight_development,board_images/board_470.png,,,
rnbqkb1r/ppp2ppp/8/3pP3/4n3/2N2Q2/PPPP2PP/R1B1KBNR b KQkq - 1 5,Be6,3,10,Black,-0.29,0.04,-0.33,Blunder,22,Inaccuracy,f5,King's Pawn Game,bishop_development,board_images/board_473.png,,,
r1bqkbnr/pp2pppp/2n5/2pp4/2PP4/4PN2/PP3PPP/RNBQKB1R b KQkq - 0 4,Nf6,3,8,Black,0.18,1.84,-1.66,Blunder,-181,Inaccuracy,e6,Reti Opening,knight_development; knight_development,board_images/board_475.png,,,
rnbqkb1r/p1p2ppp/1p2pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,Bg5,3,9,White,0.52,0.3,0.22,Blunder,77,Good,cxd5,Queen's Gambit,bishop_development; bishop_development,board_images/board_478.png,,,
rnbqkbnr/ppp1pppp/8/3p4/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq - 0 2,c5,3,4,Black,0.24,0.27,-0.03,Good,-30,Excellent,c5,King's Indian Attack,pawn_push; central_control; queenside_attack,board_images/board_485.png,,,
rnbqkb1r/ppp2ppp/4p3/8/3PP3/2P5/P4PPP/R1BQKBNR b KQkq - 0 6,b6,3,12,Black,0.31,0.68,-0.37,Blunder,-107,Inaccuracy,c5,Queen's Gambit,defensive,board_images/board_486.png,,,
rnbqkbnr/pp1ppppp/8/2p5/2P5/5N2/PP1PPPPP/RNBQKB1R b KQkq - 1 2,d6,3,4,Black,0.29,0.56,-0.27,Blunder,-62,Inaccuracy,e6,English Opening,general,board_images/board_492.png,,,
rnbqk2r/pppp1ppp/4pn2/6B1/2PP4/2b5/PP2PPPP/R2QKBNR w KQkq - 0 5,bxc3,3,9,White,0.27,0.2,0.07,Inaccuracy,58,Excellent,bxc3,Queen's Pawn Game,capture,board_images/board_493.png,,,
rnbqkb1r/pp2pppp/2p2n2/8/2BP4/4P3/PP3PPP/RNBQK1NR w KQkq - 0 5,Nc3,3,9,White,0.98,0.8,0.18,Mistake,158,Good,Nf3,Queen's Gambit,knight_development; knight_development,board_images/board_501.png,,,
rnbqk2r/ppp1ppbp/5np1/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bg5,3,9,White,0.31,0.14,0.17,Mistake,38,Inaccuracy,cxd5,King's Indian Defense,bishop_development; bishop_development,board_images/board_503.png,,,
rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPPBP/RNBQK1NR b KQkq - 1 2,Nf6,3,4,Black,-0.2,0.26,-0.46,Blunder,3,Good,e5,Irregular Opening,knight_development; knight_development,board_images/board_504.png,,,
rnbqk2r/ppppppbp/5np1/8/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 3 4,Nc3,3,7,White,0.35,0.3,0.05,Good,55,Excellent,Nc3,Queen's Pawn Game,knight_development; knight_development,board_images/board_505.png,,,
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N1P3/PP3PPP/R1BQKBNR b KQkq - 0 4,c5,3,8,Black,0.06,0.12,-0.06,Inaccuracy,1,Good,a6,Queen's Gambit,pawn_push; central_control; queenside_attack,board_images/board_510.png,,,
rnbqkbnr/pppp1ppp/8/4p3/1P6/8/PBPPPPPP/RN1QKBNR b KQkq - 1 2,d6,3,4,Black,-0.32,-0.04,-0.28,Blunder,37,Good,Bxb4,Irregular Opening,general,board_images/board_511.png,,,
rnbqkbnr/pp1p1ppp/4p3/2P5/8/8/PPP1PPPP/RNBQKBNR w KQkq - 0 3,b4,3,5,White,0.22,-0.38,0.6,Blunder,-47,Inaccuracy,e4,Queen's Pawn Game,queenside_attack,board_images/board_512.png,,,
r1bqkbnr/pppp1ppp/2n5/4P3/8/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3,Nf3,3,5,White,1.24,1.35,-0.11,Mistake,266,Excellent,Nf3,Queen's Pawn Game,knight_development; knight_development,board_images/board_515.png,,,
rnbqkbnr/pp1ppppp/8/2p5/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq - 1 2,Nc6,3,4,Black,0.3,0.29,0.01,Excellent,-37,Excellent,Nc6,English Opening,knight_development; knight_development,board_images/board_516.png,,,
